,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team_short
241,7382.0,Dan Burn,27.0,2059.0,1.0,1.0781700564548373,0.0,0.9778604349121451,17.0,10.0,5.0,0.0,D M S,Brighton,1.0,1.0781700564548373,4.978818271309137,4.17619202286005,BHA
242,7390.0,Karlan Grant,21.0,1140.0,1.0,1.6942405216395855,0.0,0.14918647333979607,16.0,2.0,1.0,0.0,F M S,West Bromwich Albion,1.0,1.6942405216395855,1.810006550513208,0.5052706673741341,WES
243,7395.0,Carlos Vinicius,9.0,300.0,1.0,1.2549921572208405,0.0,0.10279384814202785,7.0,2.0,2.0,0.0,F S,Tottenham,1.0,1.2549921572208405,1.4212634414434433,0.08671846613287926,TOT
244,7699.0,Adam Webster,29.0,2596.0,1.0,1.2729570996016264,0.0,0.2532156016677618,25.0,5.0,4.0,0.0,D,Brighton,1.0,1.2729570996016264,7.724677037447691,7.5824143048375845,BHA
245,7701.0,Moussa Djenepo,27.0,1236.0,1.0,0.7927820216864347,0.0,0.40187256410717964,14.0,6.0,5.0,0.0,M S,Southampton,1.0,0.7927820216864347,2.9883768558502197,1.9131247028708458,SOU
246,7714.0,Ben Osborn,24.0,1607.0,1.0,1.0907260961830616,0.0,2.5220147650688887,10.0,17.0,1.0,0.0,D F M S,Sheffield United,1.0,1.0907260961830616,6.371751211583614,4.422309448942542,SHE
247,7721.0,Conor Hourihane,4.0,236.0,1.0,0.5679545402526855,1.0,0.9191879034042358,5.0,5.0,0.0,0.0,M S,Aston Villa,1.0,0.5679545402526855,0.6681759208440781,0.19055770710110664,AVL
248,8020.0,Steven Alzate,15.0,905.0,1.0,0.8340352401137352,0.0,0.9228015542030334,7.0,11.0,2.0,0.0,D M S,Brighton,1.0,0.8340352401137352,3.519558561965823,2.386691849678755,BHA
249,8067.0,Reece James,32.0,2355.0,1.0,1.5345969907939434,2.0,3.6499749002978206,35.0,42.0,3.0,0.0,D M S,Chelsea,1.0,1.5345969907939434,11.71862213127315,9.588866364210844,CHE
250,8089.0,Kieran Tierney,27.0,2305.0,1.0,0.386676630936563,3.0,3.823889254592359,15.0,31.0,4.0,0.0,D S,Arsenal,1.0,0.386676630936563,8.635928904637694,5.608391160145402,ARS
